yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2004,1,Import,251,France,28,Antigua and Barbuda,84,Machinery and mechanical appliances; parts thereof,13683
1997,1,Import,376,Israel,842,USA,06,"Live trees, plants, bulbs, roots, cut flowers etc",140000
2016,2,Export,724,Spain,32,Argentina,20,"Preparations of vegetables, fruit, nuts or other parts of plants",707456
1993,1,Import,711,So. African Customs Union,410,Rep. of Korea,64,"Footwear, gaiters and the like, parts thereof",7289345
2016,2,Export,724,Spain,862,Venezuela,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1570
1999,2,Export,56,Belgium,0,World,78,Lead and articles thereof,87302611
1995,2,Export,300,Greece,203,Czechia,87,"Vehicles other than railway, tramway",10506
2005,2,Export,702,Singapore,404,Kenya,87,Vehicles other than railway or tramway rolling stock,10880982
1995,1,Import,554,New Zealand,276,Germany,97,"Works of art, collectors pieces and antiques",644155
2005,2,Export,410,Rep. of Korea,620,Portugal,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",275828
2009,1,Import,826,United Kingdom,120,Cameroon,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,6390
2013,1,Import,384,Côte d'Ivoire,348,Hungary,21,Miscellaneous edible preparations,778
2013,2,Export,842,USA,348,Hungary,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",52391
1993,2,Export,784,United Arab Emirates,231,Ethiopia,27,"Mineral fuels, oils, distillation products, etc",60984
2005,1,Import,392,Japan,642,Romania,31,Fertilizers,967158
1993,1,Import,388,Jamaica,364,Iran,08,"Edible fruit, nuts, peel of citrus fruit, melons",20511
2009,2,Export,699,India,381,Italy,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",53951590
2015,1,Import,324,Guinea,818,Egypt,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",4484
2011,2,Export,56,Belgium,156,China,86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",14031659
1996,2,Export,528,Netherlands,784,United Arab Emirates,76,Aluminium and articles thereof,3012530
2007,1,Import,659,Saint Kitts and Nevis,699,India,20,"Vegetable, fruit, nut, etc food preparations",547
1996,1,Import,646,Rwanda,231,Ethiopia,76,Aluminium and articles thereof,3993
2009,2,Export,203,Czechia,40,Austria,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,23574000
1994,1,Import,32,Argentina,392,Japan,09,"Coffee, tea, mate and spices",20646
1996,2,Export,764,Thailand,634,Qatar,58,"Special woven or tufted fabric, lace, tapestry etc",25482
2003,2,Export,246,Finland,440,Lithuania,09,"Coffee, tea, matΦ and spices",1706151
2004,1,Import,276,Germany,498,Rep. of Moldova,74,Copper and articles thereof,3902000
2006,2,Export,144,Sri Lanka,422,Lebanon,14,Vegetable plaiting materials; vegetable products nes,5364
