pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,234,Faeroe Isds,FRO,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,132441,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,238,Falkland Isds (Malvinas),FLK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,36415,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,238,Falkland Isds (Malvinas),FLK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,21920,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,242,Fiji,FJI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3112299,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,242,Fiji,FJI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,10870447,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,246,Finland,FIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,130887377,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,246,Finland,FIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,106274447,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,246,Finland,FIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,4200,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,251,France,FRA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,5152526794,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1278929034,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,251,France,FRA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,42511,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,258,French Polynesia,PYF,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,24469872,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,258,French Polynesia,PYF,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,9908562,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,260,Fr. South Antarctic Terr.,ATF,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,26231,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,260,Fr. South Antarctic Terr.,ATF,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,28082,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,262,Djibouti,DJI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,28335091,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,262,Djibouti,DJI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,7487142,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,266,Gabon,GAB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,6382057,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,266,Gabon,GAB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,2173960,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,268,Georgia,GEO,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,5491772,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,268,Georgia,GEO,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1232933,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,270,Gambia,GMB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1068229,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,270,Gambia,GMB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,344812,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,275,State of Palestine,PSE,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,558042,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,276,Germany,DEU,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,7503956651,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1938169495,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,276,Germany,DEU,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,2642930,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,288,Ghana,GHA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,9858925,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,288,Ghana,GHA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,27287636,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,288,Ghana,GHA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,21690,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,292,Gibraltar,GIB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,6428537,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,292,Gibraltar,GIB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,373163760,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,296,Kiribati,KIR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,352950,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,296,Kiribati,KIR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,787422,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,300,Greece,GRC,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,48988071,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,300,Greece,GRC,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,51548941,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,304,Greenland,GRL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,2433085,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,304,Greenland,GRL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,762390,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,308,Grenada,GRD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1396960,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,308,Grenada,GRD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,18238066,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,320,Guatemala,GTM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,46269959,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,631565492,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,115693,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,324,Guinea,GIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3740643,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,324,Guinea,GIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,12929737,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,324,Guinea,GIN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,294827,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,328,Guyana,GUY,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,13914040,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,328,Guyana,GUY,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,65058096,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,328,Guyana,GUY,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,214337,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,332,Haiti,HTI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3155607,,,0
