yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2011,1,862,48,57,575
2007,2,276,348,68,75552000
2016,2,56,788,69,511762
2007,2,410,490,03,8824905
2015,2,591,320,49,1873032
1996,2,446,842,55,2642
2015,1,196,586,48,531
2003,2,724,392,82,3217500
1996,1,646,180,33,2105
2002,2,152,528,74,139572169
2010,1,203,442,21,94
2002,2,792,616,62,13401421
2011,2,440,579,59,177657
2008,1,40,116,09,1659
2016,1,484,381,52,9839042
2018,2,458,899,83,182662
2007,1,360,246,18,44250
2014,1,450,528,99,1155
2008,2,688,40,60,1189
2001,1,716,360,96,24011
2017,2,818,682,39,34386985
2004,2,528,530,06,403088
2014,1,276,50,51,6288
1998,1,170,0,18,12463052
2017,2,442,795,28,428
2014,2,418,699,78,2481935
2014,2,340,76,28,43568
2013,1,496,392,93,2059
2015,1,604,70,63,1634
2006,1,398,292,39,468
2002,1,703,381,74,3163786
2008,1,400,251,40,673294
2008,1,512,634,86,10013
1995,1,450,58,35,3217
2010,1,842,499,62,58175
2018,1,484,124,23,55049599
2017,1,417,804,37,6
2003,2,659,328,22,6000
2011,2,450,757,15,935426
2004,2,124,705,56,107
1999,1,705,792,21,96217
2014,2,616,729,29,28485
2013,1,222,360,15,6000
2003,1,562,0,30,16843139
2019,1,807,440,71,9601
2007,2,251,180,47,112520
2010,1,410,0,21,844430309
1998,2,276,262,84,1452000
1998,2,266,807,73,5085
2000,1,192,752,22,2285
1994,1,826,818,49,278721
2001,1,251,620,94,146934672
2016,2,604,56,71,967372
2004,1,804,276,30,143705790
2011,1,100,381,06,1107439
1994,1,124,104,62,5233347
2011,2,170,838,31,2051
2002,2,422,414,73,389864
1990,2,792,642,94,994
2018,2,826,48,92,24837
2001,1,218,381,87,4420876
2014,1,170,586,10,2737
2000,2,124,144,59,332646
2003,2,404,784,62,877
2009,2,458,104,10,23637
2003,2,251,70,52,414262
2005,1,512,208,95,6863
1998,2,40,642,47,54743
2003,2,76,604,04,979294
2015,2,608,450,73,1
2005,1,562,842,70,14041
2015,1,40,251,41,2480692
2016,2,764,376,44,8257208
2013,2,112,729,38,1800
2009,2,360,84,70,11057
2008,2,710,826,50,40128
2007,2,752,36,95,2194415
2015,1,124,372,91,52485
2015,2,842,634,68,3628572
2008,2,699,56,16,15767200
2015,1,140,0,16,4751406
2000,1,144,702,40,6122581
2016,1,528,586,88,533653
2004,2,620,410,56,202016
2000,1,392,276,20,12296254
2016,1,268,442,42,384
2005,2,842,300,13,72730
2005,2,699,458,13,1097649
2000,1,40,795,62,48371
2016,2,348,112,48,373809
2001,1,826,804,35,1268
2006,1,643,203,17,9493757
2018,1,804,104,73,0
1997,1,100,246,38,1664534
2005,2,156,196,60,474486
1993,2,699,784,16,747
2009,2,608,316,32,109466
2004,2,504,528,55,105868
2018,1,381,288,16,14692727
2009,1,56,768,97,11513
2002,2,643,784,12,7700
2011,2,152,0,87,806521897
2002,1,484,40,88,6202
2009,2,757,170,20,18893
1997,2,752,112,73,197423
2019,1,586,381,82,2044130
1996,2,170,332,18,54946
1997,1,372,203,39,85293
2014,1,516,842,68,5992
2011,1,454,710,71,43650
2005,1,233,470,97,193
2013,1,554,643,17,74192
2019,1,97,600,96,114233
2013,1,44,410,40,2649
2002,2,490,116,31,1860
2004,2,490,400,80,22082
2016,1,710,528,07,1372194
1991,2,724,40,22,4533980
2003,2,826,417,57,1507
1994,1,251,392,55,11447449
2002,1,251,276,52,98891346
1998,1,40,58,48,42301088
2015,1,634,32,75,2672
1993,1,203,92,64,651
2016,1,854,288,11,7529917
2006,2,699,528,78,1665562
2018,1,112,784,40,200
2007,1,234,191,70,13
2002,1,748,0,95,926629
2015,1,40,340,73,5034
1995,2,251,792,93,310498
2010,2,826,752,74,84315073
2015,2,702,688,42,4839
